Referência (na ocasião do registro ou da renovação de adequação a RDC 134/2003);Princípio ativo;Nome comercial do medicamento similar;Detentor do registro do medicamento similar;Forma Farmacêutica;Concentração;Data da inclusão
Micardis;telmisartana;Pressige;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;40 MG;15/12/2015
Micardis;telmisartana;Pressige;SANOFI-AVENTIS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;80 MG;15/12/2015
Micardis;telmisartana;Telbax;RANBAXY FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;40 MG;15/12/2014
Micardis;telmisartana;Telbax;RANBAXY FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;80 MG;15/12/2014
Micardis;telmisartana;Telmigran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;40 MG;15/12/2014
Micardis;telmisartana;Telmigran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;80 MG;15/12/2014
Micardis;telmisartana;Telmisart;EMS S/A;COMPRIMIDO SIMPLES;40 MG;15/12/2014
Micardis;telmisartana;Telmisart;EMS S/A;COMPRIMIDO SIMPLES;80 MG;15/12/2014
Micardis HCT;telmisartana + hidroclorotiazida;Bramicar HCT;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;40 MG + 12,5 MG;30/06/2018
Micardis HCT;telmisartana + hidroclorotiazida;Bramicar HCT;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;80 MG + 12,5 MG;30/06/2018
Micardis HCT;telmisartana + hidroclorotiazida;Bramicar HCT;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;80 MG + 25 MG;30/06/2018
Micardis HCT;telmisartana + hidroclorotiazida;Misacor HCT;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;40 MG + 12,5 MG;30/04/2018
Micardis HCT;telmisartana + hidroclorotiazida;Misacor HCT;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;80 MG + 12,5 MG;30/04/2018
Micardis HCT;telmisartana + hidroclorotiazida;Misacor HCT;NOVA QUIMICA FARMACÊUTICA S/A;COMPRIMIDO SIMPLES;80 MG + 25 MG;30/04/2018
Micardis HCT;telmisartana + hidroclorotiazida;Telmigran HCT;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;40 MG + 12,5 MG;30/04/2018
Micardis HCT;telmisartana + hidroclorotiazida;Telmigran HCT;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;80 MG + 12,5 MG;30/04/2018
Micardis HCT;telmisartana + hidroclorotiazida;Telmigran HCT;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;80 MG + 25 MG;30/04/2018
Micardis HCT;telmisartana + hidroclorotiazida;Tersocor HCT;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;40 MG + 12,5 MG;31/08/2016
Micardis HCT;telmisartana + hidroclorotiazida;Tersocor HCT;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;80 MG + 12,5 MG;31/08/2016
Micardis HCT;telmisartana + hidroclorotiazida;Tersocor HCT;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;80 MG + 25 MG;31/08/2016
Micardis HCT;telmisartana + hidroclorotiazida;Vesuvius HCT;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;40 MG + 12,5 MG;30/06/2016
Micardis HCT;telmisartana + hidroclorotiazida;Vesuvius HCT;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;80 MG + 12,5 MG;30/06/2016
Micardis HCT;telmisartana + hidroclorotiazida;Vesuvius HCT;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;80 MG + 25 MG;30/06/2016
Micostatin;nistatina;Albistin;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Canditrat;LABORATÓRIO TEUTO BRASILEIRO S/A;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Canditrat;LABORATÓRIO TEUTO BRASILEIRO S/A;SUSPENSÃO ORAL;100.000 UI/ML;15/12/2014
Micostatin;nistatina;Inofungin;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Lafepe -  Nistatina;LABORATÓRIO FARMACÊUTICO DO ESTADO DE PERNAMBUCO - LAFEPE;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Lafepe -  Nistatina;LABORATÓRIO FARMACÊUTICO DO ESTADO DE PERNAMBUCO - LAFEPE;SUSPENSÃO ORAL;100.000 UI /ML;26/01/2016
Micostatin;nistatina;Miconastin;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Neo Mistatin;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;SUSPENSÃO ORAL;100.000 UI/ML;30/04/2017
Micostatin;nistatina;Neo Mistatin;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;CREME VAGINAL;25.000 UI/G;30/04/2017
Micostatin;nistatina;Nistamax;NATULAB LABORATÓRIO S.A;SUSPENSÃO ORAL;100.000 UI/ML;15/12/2014
Micostatin;nistatina;Nistax;HYPERMARCAS S/A;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Nistax;HYPERMARCAS S/A;SUSPENSÃO ORAL;100.000 UI/ML;15/12/2014
Micostatin;nistatina;Nistrazin;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;CREME VAGINAL;25.000 UI/G;15/12/2014
Micostatin;nistatina;Vagistatina;BELFAR LTDA;SUSPENSÃO ORAL;100.000 UI/ML;15/12/2014
Micostatin;nistatina;Vagistatina;BELFAR LTDA;CREME VAGINAL;25.000 UI/G;15/12/2014
Microdiol;desogestrel + etinilestradiol;Adelle 30;MOMENTA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;0,150 MG + 0,03 MG;15/12/2015
Microdiol;desogestrel + etinilestradiol;Gestradiol;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;0,150 MG + 0,03 MG;31/10/2016
Microdiol;desogestrel + etinilestradiol;Lamunette 30;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;0,150 MG + 0,03 MG;13/11/2015
Microdiol;desogestrel + etinilestradiol;Primera 30;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;0,150 MG + 0,03 MG;08/05/2015
Micronor;noretisterona;Norestin;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;0,35 MG;15/12/2014
Mimpara;cloridrato de cinacalcete;Calt;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;COMPRIMIDO REVESTIDO;30 MG;30/11/2018
Mimpara;cloridrato de cinacalcete;Calt;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;COMPRIMIDO REVESTIDO;60 MG;30/11/2018
Mimpara;cloridrato de cinacalcete;Missort;EMS S/A;COMPRIMIDO REVESTIDO;30 MG;28/02/2018
Mimpara;cloridrato de cinacalcete;Missort;EMS S/A;COMPRIMIDO REVESTIDO;60 MG;28/02/2018
Mimpara;cloridrato de cinacalcete;Paraticet;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;30 MG;30/06/2016
Mimpara;cloridrato de cinacalcete;Paraticet;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;60 MG;30/06/2016
Minesse;etinilestradiol + gestodeno;Allestra 15;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;COMPRIMIDO REVESTIDO;0,015 MG + 0,060 MG;06/02/2020
Minesse;etinilestradiol + gestodeno;Lizzy;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;0,015 MG + 0,060 MG;15/12/2014
Minesse;etinilestradiol + gestodeno;Siblima;LIBBS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;0,015 MG + 0,060 MG;13/09/2015
Minesse;etinilestradiol + gestodeno;Tâmisa 15;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;0,015 MG + 0,060 MG;30/11/2018
Minesse;etinilestradiol + gestodeno;Tantin;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;0,015 MG + 0,060 MG;30/06/2016
Minomax;cloridrato de minociclina;Ximino;RANBAXY FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;100 MG;13/11/2015
Minoton;aminofilina;Aminolex;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO INJETÁVEL;24 MG/ML;15/12/2014
Minoton;aminofilina;Aminotrat;NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO INJETÁVEL;24 MG/ML;15/12/2014
Minulet;etinilestradiol + gestodeno;Allestra 30;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;COMPRIMIDO REVESTIDO;0,03 MG + 0,075 MG;06/02/2020
Minulet;etinilestradiol + gestodeno;Fertnon;MABRA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;0,03 MG + 0,075 MG;31/03/2016
Minulet;etinilestradiol + gestodeno;Ulteron;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;0,03 MG + 0,075 MG;30/06/2016
Miosan;cloridrato de ciclobenzaprina;Benziflex;EMS S/A;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Benziflex;EMS S/A;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Cizax;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Cizax;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Miebra;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COMPRIMIDO REVESTIDO;5 MG;31/08/2018
Miosan;cloridrato de ciclobenzaprina;Miebra;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COMPRIMIDO REVESTIDO;10 MG;31/08/2018
Miosan;cloridrato de ciclobenzaprina;Miofibrax;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Miofibrax;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Miorex;INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Miorex;INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Miprinax;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO REVESTIDO;5 MG;30/06/2016
Miosan;cloridrato de ciclobenzaprina;Miprinax;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;COMPRIMIDO REVESTIDO;10 MG;30/06/2016
Miosan;cloridrato de ciclobenzaprina;Mirtax;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO REVESTIDO;5 MG;31/10/2016
Miosan;cloridrato de ciclobenzaprina;Mirtax;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO REVESTIDO;10 MG;31/10/2016
Miosan;cloridrato de ciclobenzaprina;Mulax;SUPERA FARMA LABORATÓRIOS S.A;COMPRIMIDO REVESTIDO;5 MG;30/03/2015
Miosan;cloridrato de ciclobenzaprina;Mulax;SUPERA FARMA LABORATÓRIOS S.A;COMPRIMIDO REVESTIDO;10 MG;30/03/2015
Miosan;cloridrato de ciclobenzaprina;Musculare;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Musculare;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Muscuprina;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Muscuprina;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Muscusan;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Muscusan;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Renutrim;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO REVESTIDO;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Renutrim;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO REVESTIDO;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Zaprin;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;5 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Zaprin;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Miosan;cloridrato de ciclobenzaprina;Zenflex;ALTHAIA S. A. INDÚSTRIA FARMACÊUTICA;COMPRIMIDO REVESTIDO;5 MG;13/11/2015
Miosan;cloridrato de ciclobenzaprina;Zenflex;ALTHAIA S. A. INDÚSTRIA FARMACÊUTICA;COMPRIMIDO REVESTIDO;10 MG;13/11/2015
mirtazapina Novartis;mirtazapina;Menelat;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;30 MG;15/12/2014
mirtazapina Novartis;mirtazapina;Menelat;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;45 MG;15/12/2014
mirtazapina Sandoz;mirtazapina;Razapina;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;30 MG;15/12/2014
mirtazapina Sandoz;mirtazapina;Razapina;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;45 MG;15/12/2014
Mitexan;mesna;Tevamesna;TEVA FARMACÊUTICA LTDA.;SOLUÇÃO INJETÁVEL;100 MG/ML;15/12/2014
Mitostate;cloridrato de mitoxantrona;Evomixan;EVOLABIS PRODUTOS FARMACÊUTICOS LTDA;SOLUÇÃO INJETÁVEL;2 MG/ML;15/12/2014
Moduretic;cloridrato de amilorida + hidroclorotiazida;Amilorid;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;2,5 MG + 25 MG;15/12/2014
Moduretic;cloridrato de amilorida + hidroclorotiazida;Ancloric;VITAPAN INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;5 MG + 50 MG;15/12/2014
Monocordil;mononitrato de isossorbida;Cincordil;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;20 MG;31/10/2016
Monocordil;mononitrato de isossorbida;Coronar;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;20 MG;15/12/2014
Monocordil;mononitrato de isossorbida;Coronar;BIOLAB SANUS FARMACÊUTICA LTDA;SOLUÇÃO INJETÁVEL;10 MG/ML;15/12/2014
Monopril;fosinopril sódico;Fosipraz;ACTAVIS FARMACEUTICA LTDA.;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Monopril;fosinopril sódico;Fosipraz;ACTAVIS FARMACEUTICA LTDA.;COMPRIMIDO SIMPLES;20 MG;15/12/2014
Monuril;fosfomicina trometamol;Belemina;ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.;GRANULADO SIMPLES;3 G;30/06/2017
Monuril;fosfomicina trometamol;Traturil;APSEN FARMACEUTICA S/A;GRANULADO SIMPLES;3 G;30/06/2018
Motilium;domperidona;Domperix;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Motilium;domperidona;Domperix;EUROFARMA LABORATÓRIOS S.A.;SUSPENSÃO ORAL;1 MG/ML;15/12/2014
Motilium;domperidona;Dompgran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Motilium;domperidona;Dompliv;EMS S/A;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Motilium;domperidona;Motiridona;GERMED FARMACEUTICA LTDA;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Motilium;domperidona;Molidon;EMS SIGMA PHARMA LTDA;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Motilium;domperidona;Peridal;SANOFI MEDLEY FARMACÊUTICA LTDA.;COMPRIMIDO SIMPLES;10 MG;17/06/2019
Motilium;domperidona;Peridal;SANOFI MEDLEY FARMACÊUTICA LTDA.;SUSPENSÃO ORAL;1 MG/ML;17/06/2019
Motilium;domperidona;Perigite;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;10 MG;09/12/2019
Motilium;domperidona;Perigite;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;SUSPENSÃO ORAL;1 MG/ML;09/12/2019
Motrin;ibuprofeno;Algy-flanderil;VITAPAN INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;600 MG;05/01/2015
Motrin;ibuprofeno;Artril;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;600 MG;15/12/2014
Motrin;ibuprofeno;Buprovil;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COMPRIMIDO REVESTIDO;600 MG;15/12/2014
Motrin;ibuprofeno;Ibuvix;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;COMPRIMIDO REVESTIDO;600 MG;26/01/2015
Movatec;meloxicam;Bioflac;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;COMPRIMIDO SIMPLES;7,5 MG;27/07/2015
Movatec;meloxicam;Bioflac;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;COMPRIMIDO SIMPLES;15 MG;27/07/2015
Movatec;meloxicam;Bioflac;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SOLUÇÃO INJETÁVEL;10 MG/ML;27/07/2015
Movatec;meloxicam;Cicloxx;WYETH INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;7,5 MG;15/12/2014
Movatec;meloxicam;Cicloxx;WYETH INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Movatec;meloxicam;Diaden;ONEFARMA INDUSTRIA FARMACEUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;28/02/2018
Movatec;meloxicam;Loxam;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;COMPRIMIDO SIMPLES;15 MG;26/01/2015
Movatec;meloxicam;Melocox;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;7,5 MG;15/12/2014
Movatec;meloxicam;Melocox;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Movatec;meloxicam;Melocox;EUROFARMA LABORATÓRIOS S.A.;SOLUÇÃO INJETÁVEL;10 MG/ML;15/12/2014
Movatec;meloxicam;Melovac;EMS S/A;COMPRIMIDO SIMPLES;7,5 MG;30/06/2017
Movatec;meloxicam;Melovac;EMS S/A;COMPRIMIDO SIMPLES;15 MG;30/06/2017
Movatec;meloxicam;Meloxigran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;7,5 MG;30/04/2017
Movatec;meloxicam;Meloxigran;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;30/04/2017
Movatec;meloxicam;Mevamox;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;7,5 MG;15/12/2014
Movatec;meloxicam;Mevamox;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Movatec;meloxicam;Movacox;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;7,5 MG;15/12/2014
Movatec;meloxicam;Movacox;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Movatec;meloxicam;Movoxicam;CELLERA FARMACÊUTICA S.A.;COMPRIMIDO SIMPLES;7,5 MG;30/06/2018
Movatec;meloxicam;Movoxicam;CELLERA FARMACÊUTICA S.A.;COMPRIMIDO SIMPLES;15 MG;30/06/2018
Mucolitic;carbocisteína;Carbotrat;NATIVITA IND. COM. LTDA.;XAROPE;50 MG/ML;15/12/2014
Mucolitic;carbocisteína;Carbotrat;NATIVITA IND. COM. LTDA.;XAROPE;20 MG/ML;15/12/2014
Mydriacyl;tropicamida;Ciclomidrin;LATINOFARMA INDUSTRIAS FARMACEUTICAS LTDA;SOLUÇÃO OFTÁLMICA;10 MG/ML;15/12/2014
Mydriacyl;tropicamida;Tropinom;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;SOLUÇÃO OFTÁLMICA;10 MG/ML;15/12/2014
Myfortic;micofenolato de sódio;Fenosuprex;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO DE LIBERAÇÃO RETARDADA;180 MG;30/06/2016
Myfortic;micofenolato de sódio;Fenosuprex;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO DE LIBERAÇÃO RETARDADA;360 MG;30/06/2016
Myfortic;micofenolato de sódio;Mycosodium;EMS S/A;COMPRIMIDO REVESTIDO DE LIBERAÇÃO RETARDADA;180 MG;30/06/2016
Myfortic;micofenolato de sódio;Mycosodium;EMS S/A;COMPRIMIDO REVESTIDO DE LIBERAÇÃO RETARDADA;360 MG;30/06/2016
Myfortic;micofenolato de sódio;Myyko LR;ACCORD FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO DE LIBERAÇAO RETARDADA;360 MG;28/02/2018
Naprix A;besilato de anlodipino + ramipril;Ecator Anlo;TORRENT DO BRASIL LTDA;CÁPSULA GELATINOSA DURA;2,5 MG + 5 MG;15/12/2014
Naprix A;besilato de anlodipino + ramipril;Ecator Anlo;TORRENT DO BRASIL LTDA;CÁPSULA GELATINOSA DURA;5 MG + 5 MG;15/12/2014
Naprosyn;naproxeno;Naprox;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;250 MG;08/05/2015
Naprosyn;naproxeno;Naprox;LABORATÓRIO TEUTO BRASILEIRO S/A;COMPRIMIDO SIMPLES;500 MG;08/05/2015
Naramig;cloridrato de naratriptana;Cloridrato De Naratriptana;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;2,5 MG;15/12/2014
Naramig;cloridrato de naratriptana;Naratano;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;2,5 MG;15/12/2014
Naramig;cloridrato de naratriptana;Naratrin;EMS S/A;COMPRIMIDO REVESTIDO;2,5 MG;15/12/2014
Naramig;cloridrato de naratriptana;Narcef;GERMED FARMACEUTICA LTDA;COMPRIMIDO REVESTIDO;2,5 MG;15/12/2014
Naropin;cloridrato de ropivacaína;Opivac;LABORATÓRIO TEUTO BRASILEIRO S/A;SOLUÇÃO INJETÁVEL;7,5 MG/ML;13/09/2015
Naropin;cloridrato de ropivacaína;Opivac;LABORATÓRIO TEUTO BRASILEIRO S/A;SOLUÇÃO INJETÁVEL;10 MG/ML;13/09/2015
Naropin;cloridrato de ropivacaína;Pigesic;WYETH INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO INJETÁVEL;7,5 MG/ML;26/01/2016
Naropin;cloridrato de ropivacaína;Pigesic;WYETH INDÚSTRIA FARMACÊUTICA LTDA;SOLUÇÃO INJETÁVEL;10 MG/ML;26/01/2016
Naropin;cloridrato de ropivacaína;Ropi;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SOLUÇÃO INJETÁVEL;2 MG/ML;15/12/2014
Naropin;cloridrato de ropivacaína;Ropi;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SOLUÇÃO INJETÁVEL;7,5 MG/ML;15/12/2014
Naropin;cloridrato de ropivacaína;Ropi;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SOLUÇÃO INJETÁVEL;10 MG/ML;15/12/2014
Nasacort;acetonida de triancinolona;Allenasal;SANOFI-AVENTIS FARMACÊUTICA LTDA;SUSPENSÃO NASAL;550 MCG/ML;17/06/2019
Nasonex;furoato de mometasona;Nites;MERCK SHARP E DOHME FARMACEUTICA LTDA;SUSPENSÃO NASAL;0,5 MG/G;13/09/2015
Natrilix;indapamida;Pharmida;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;DRÁGEA SIMPLES;2,5 MG;31/10/2016
Natrilix SR;indapamida;Ainda SR;EUROFARMA LABORATÓRIOS S.A.;COMPRIMIDO REVESTIDO DE LIBERAÇÃO PROLONGADA;1,5 MG;31/10/2016
Natrilix SR;indapamida;Dapamix;MOMENTA FARMACÊUTICA LTDA.;COMPRIMIDO REVESTIDO DE LIBERAÇÃO PROLONGADA;1,5 MG;13/09/2015
Natrilix SR;indapamida;Flux SR;BIOLAB SANUS FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO DE LIBERAÇÃO PROLONGADA;1,5 MG;06/02/2020
Natrilix SR;indapamida;Indafix;EMS SIGMA PHARMA LTDA;COMPRIMIDO REVESTIDO;1,5 MG;15/12/2014
Natrilix SR;indapamida;Indapen SR;TORRENT DO BRASIL LTDA;COMPRIMIDO REVESTIDO;1,5 MG;08/05/2015
Natrilix SR;indapamida;Indatrat SR;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO REVESTIDO;1,5 MG;15/12/2014
Natrilix SR;indapamida;Pharmida;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;COMPRIMIDO REVESTIDO DE LIBERAÇÃO PROLONGADA;1,5 MG;31/10/2016
